iso_code,location,total_cases,percent
AND,Andorra,12010.0,15.543907331909661
MNE,Montenegro,91218.0,14.523725364693293
CZE,Czechia,1532332.0,14.308848404077997
SMR,San Marino,4730.0,13.937179562732041
SVN,Slovenia,215602.0,10.370805779121204
LUX,Luxembourg,61642.0,9.847342390123583
ISR,Israel,833105.0,9.625106044786802
USA,United States,3.046221E7,9.203010995860707
SRB,Serbia,600596.0,8.826328557933492
BHR,Bahrain,144445.0,8.488860079114566
PAN,Panama,355051.0,8.228739065460761
PRT,Portugal,821722.0,8.058699735120369
EST,Estonia,106424.0,8.022681579659551
SWE,Sweden,804886.0,7.969744347858805
LTU,Lithuania,216119.0,7.938864728274825
